Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-dntq,branch-m3cj,branch-gv2f,branch-jlla,branch-r87h,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Response1,Spreadsheet: Response2,Spreadsheet: Response3,Spreadsheet: Response4,Spreadsheet: Answer,Spreadsheet: Exercise_stimuli,Spreadsheet: CA_iteration1_stimuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet:,Manipulation: Spreadsheet,Store: Result,Store: Response time
11,1717181500279,31/05/2024 18:51:40,1717167100279,-4,31/05/2024 10:51:40,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,378.1,366.4,378.1,378.1,366.4,378.1,1,378.1,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1717181500279,31/05/2024 18:51:40,1717167100279,-4,31/05/2024 10:51:40,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,378.4,366.4,378.4,378.4,366.4,378.4,1,378.4,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1717181500279,31/05/2024 18:51:40,1717167100279,-4,31/05/2024 10:51:40,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,378.6,366.4,378.6,378.6,366.4,378.6,1,378.6,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1717181500280,31/05/2024 18:51:40,1717167100280,-4,31/05/2024 10:51:40,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,378.9,366.4,378.9,378.9,366.4,378.9,1,378.9,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1717181501870,31/05/2024 18:51:41,1717167101870,-4,31/05/2024 10:51:41,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,response,deer.png,1965.1,1948.3,1965.1,1965.1,1948.3,1965.1,1,1965.1,0,0,,Click Response,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
16,1717181503814,31/05/2024 18:51:43,1717167103814,-4,31/05/2024 10:51:43,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Fixation,49xu5x,1,continue,,1964.8,1964.8,1964.8,1964.8,1964.8,1964.8,1,1964.8,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
17,1717181503817,31/05/2024 18:51:43,1717167103817,-4,31/05/2024 10:51:43,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,3.5,0,3.5,3.5,0,3.5,1,3.5,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
18,1717181503818,31/05/2024 18:51:43,1717167103818,-4,31/05/2024 10:51:43,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,3.799999952,0,3.799999952,3.799999952,0,3.799999952,1,3.799999952,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
19,1717181503818,31/05/2024 18:51:43,1717167103818,-4,31/05/2024 10:51:43,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,4.099999905,0,4.099999905,4.099999905,0,4.099999905,1,4.099999905,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
20,1717181503818,31/05/2024 18:51:43,1717167103818,-4,31/05/2024 10:51:43,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,4.399999857,0,4.399999857,4.399999857,0,4.399999857,1,4.399999857,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
21,1717181504295,31/05/2024 18:51:44,1717167104295,-4,31/05/2024 10:51:44,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,481.3999999,466,481.3999999,481.3999999,466,481.3999999,1,481.3999999,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
22,1717181504296,31/05/2024 18:51:44,1717167104296,-4,31/05/2024 10:51:44,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,482.2,466,482.2,482.2,466,482.2,1,482.2,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
23,1717181504297,31/05/2024 18:51:44,1717167104297,-4,31/05/2024 10:51:44,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,482.4,466,482.4,482.4,466,482.4,1,482.4,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
24,1717181504298,31/05/2024 18:51:44,1717167104298,-4,31/05/2024 10:51:44,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,482.4,466,482.4,482.4,466,482.4,1,482.4,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deer.png,1965
25,1717181506228,31/05/2024 18:51:46,1717167106228,-4,31/05/2024 10:51:46,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,response,tear.png,2413.4,2397.5,2413.4,2413.4,2397.5,2413.4,1,2413.4,0,0,,Click Response,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
26,1717181508178,31/05/2024 18:51:48,1717167108178,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Fixation,49xu5x,1,continue,,1965,1965,1965,1965,1965,1965,1,1965,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
27,1717181508180,31/05/2024 18:51:48,1717167108180,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,3.5,0,3.5,3.5,0,3.5,1,3.5,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
28,1717181508180,31/05/2024 18:51:48,1717167108180,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,3.599999905,0,3.599999905,3.599999905,0,3.599999905,1,3.599999905,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
29,1717181508180,31/05/2024 18:51:48,1717167108180,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,3.700000048,0,3.700000048,3.700000048,0,3.700000048,1,3.700000048,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
30,1717181508180,31/05/2024 18:51:48,1717167108180,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,3.799999952,0,3.799999952,3.799999952,0,3.799999952,1,3.799999952,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
31,1717181508588,31/05/2024 18:51:48,1717167108588,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio finished,411.5,399.9,411.5,411.5,399.9,411.5,1,411.5,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
32,1717181508588,31/05/2024 18:51:48,1717167108588,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio finished,411.8,399.9,411.8,411.8,399.9,411.8,1,411.8,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
33,1717181508588,31/05/2024 18:51:48,1717167108588,-4,31/05/2024 10:51:48,178210,45,task-ap5c,,37978485,BLIND,11178819,,complete,,665a1baf152454bb2e6303d1,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2560x1080,722x949,,,0,DBSL,76,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio finished,412,399.9,412,412,399.9,412,1,412,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2413
