Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-dntq,branch-m3cj,branch-gv2f,branch-jlla,branch-r87h,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Response1,Spreadsheet: Response2,Spreadsheet: Response3,Spreadsheet: Response4,Spreadsheet: Answer,Spreadsheet: Exercise_stimuli,Spreadsheet: CA_iteration1_stimuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet:,Manipulation: Spreadsheet,Store: Result,Store: Response time
1,1717038374050,30/05/2024 03:06:14,1717020374050,-5,29/05/2024 17:06:14,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1717038388686,30/05/2024 03:06:28,1717020388686,-5,29/05/2024 17:06:28,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1717038388739,30/05/2024 03:06:28,1717020388739,-5,29/05/2024 17:06:28,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1717038395127,30/05/2024 03:06:35,1717020395127,-5,29/05/2024 17:06:35,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Instruction (exercise),Screen 1,j1qori,1,continue,,6462.1,6449.4,6462.1,6462.1,6449.4,6462.1,1,6462.1,0,0,,Click To Continue,Continue Button,2,object-1120,Instruction (exercise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1717038402770,30/05/2024 03:06:42,1717020402770,-5,29/05/2024 17:06:42,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Instruction,Instruction,4bbmyx,1,continue,,7656.7,7649.5,7656.7,7656.7,7649.5,7656.7,1,7656.7,0,0,,Click To Continue,Continue Button,2,object-58,Instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1717038404732,30/05/2024 03:06:44,1717020404732,-5,29/05/2024 17:06:44,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Fixation,49xu5x,1,continue,,1966.8,1966.8,1966.8,1966.8,1966.8,1966.8,1,1966.8,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1717038404755,30/05/2024 03:06:44,1717020404755,-5,29/05/2024 17:06:44,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1717038404756,30/05/2024 03:06:44,1717020404756,-5,29/05/2024 17:06:44,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1717038404757,30/05/2024 03:06:44,1717020404757,-5,29/05/2024 17:06:44,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1717038404758,30/05/2024 03:06:44,1717020404758,-5,29/05/2024 17:06:44,178210,44,task-ap5c,,37940498,BLIND,11169641,,complete,,6657ec0ba6f8fd9a00ebd780,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 124.0.0.0,1366x768,1366x599,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio started,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
