Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-dntq,branch-m3cj,branch-gv2f,branch-jlla,branch-r87h,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Response1,Spreadsheet: Response2,Spreadsheet: Response3,Spreadsheet: Response4,Spreadsheet: Answer,Spreadsheet: Exercise_stimuli,Spreadsheet: CA_iteration1_stimuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet:,Manipulation: Spreadsheet,Store: Result,Store: Response time
11,1717038556586,30/05/2024 03:09:16,1717020556586,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,390.4,387,390.4,390.4,387,390.4,1,390.4,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1717038556587,30/05/2024 03:09:16,1717020556587,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,391.6,387,391.6,391.6,387,391.6,1,391.6,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1717038556587,30/05/2024 03:09:16,1717020556587,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,391.9,387,391.9,391.9,387,391.9,1,391.9,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1717038556588,30/05/2024 03:09:16,1717020556588,-5,29/05/2024 17:09:16,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,info,audio finished,392.6,387,392.6,392.6,387,392.6,1,392.6,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1717038557192,30/05/2024 03:09:17,1717020557192,-5,29/05/2024 17:09:17,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,1,Exercise,Exercise,4woawc,2,response,beer.png,995.4,992.3,995.4,995.4,992.3,995.4,1,995.4,0,0,,Click Response,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,beer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
16,1717038559166,30/05/2024 03:09:19,1717020559166,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Fixation,49xu5x,1,continue,,1978.6,1978.6,1978.6,1978.6,1978.6,1978.6,1,1978.6,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
17,1717038559169,30/05/2024 03:09:19,1717020559169,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,2.900000003,0,2.900000003,2.900000003,0,2.900000003,1,2.900000003,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
18,1717038559169,30/05/2024 03:09:19,1717020559169,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,3.2,0,3.2,3.2,0,3.2,1,3.2,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
19,1717038559170,30/05/2024 03:09:19,1717020559170,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,3.400000003,0,3.400000003,3.400000003,0,3.400000003,1,3.400000003,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
20,1717038559170,30/05/2024 03:09:19,1717020559170,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio started,3.7,0,3.7,3.7,0,3.7,1,3.7,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
